index,machine,top25
10,0,"'lvad', 'arterial catheter', 'gastrointestinal (gi) bleeding', 'open heart surgery', 'respiratory failure', 'percutaneous', 'acute renal failure diagnosis / treatment', 'aorta', 'conscious sedation administration', 'thoracotomy', 'pericardiocentesis', 'left ventricular assist device', 'sepsis', 'cardioversion', 'cardiogenic shock', 'cardiac transplant', 'lung transplant', 'temporary pacemakers', 'coronary artery bypass graft (cabg)', 'cardiac output', 'tube thoracostomy (chest tube)', 'preoperative care', 'coronary artery bypass', 'heart transplant', 'liver transplant'"
11,2,"'incisional biopsies', 'pulp capping', 'pulp chamber filling', 'pulp removal', 'dental needs evaluation', 'occlusion correction', 'filling margin elimination', 'excisional biopsy', 'pyelogram', 'ramus', 'dental health evaluation', 'proctoscopy', 'instrument tray set up', 'vcug', 'radiology technique', 'colectomy', 'antispasmodic drugs', 'prosthodontic appliances', 'skin graft', 'vasovagal reaction', 'intra-oral examination', 'conscious sedation maintenance', 'blepharoplasty', 'orchiectomy', 'dental drill'"
12,0,"'cell abnormality', 'immunopathology', 'fluorescent in situ hybridization', 'immunostainers', 'reticulocyte', 'specimen quality evaluation', 'body fluids analysis', 'enzyme immunoassay', 'karyotype', 'd-dimer', 'laboratory findings analysis', 'chorionic villi knowledge', 'inverted microscopes', 'microscopic study', 'immunological analyses', 'clinical cytogenetics', 'reverse transcriptase', 'eosinophil', 'thyroxine', 'sweat test', 'specimen examination', 'chromosome analysis', 'fibrinogen', 'chlamydia trachomatis diagnosis / treatment', 'pulsed field gel electrophesis'"
13,0,"'individual investment strategy', 'investment goal definition', 'trust and estates law', 'investment strategy', 'financial advising', 'individual financial goals', 'investment planning', 'portfolio construction', 'investment account management', 'asset allocation', 'asset allocation theory', 'wealth management', 'asset consolidation', 'estate planning documentation', 'account compliance reviews', 'estate planning', 'investment services marketing', 'investment sales', 'retirement planning', 'investment management', 'college planning', 'defined contribution investment', 'modern portfolio theory (mpt)', 'income tax planning', 'investment recommendations'"
14,0,"'receptor tyrosine kinases', 'signal transduction mechanisms', 'signal transduction pathway', 'knockout mice', 'nuclear receptors', 'chromatin remodeling', 'reactive oxygen species', 'programmed cell death', 'cancer cell culture', 'promoter analysis', 'tumor suppressor genes', 'migration assays', 'phosphatases', 'integrins', 'telomere', 'cell-based assay systems', 'mucosal immune responses', 'high-throughput drug screening', 'inflammatory response', 'human molecular genetics', 'mesoderm', 'gene deletion', 'effector mechanisms', 'metabolic physiology', 'adaptive immune systems'"
15,3,"'certified ethical hacker', 'security information and event management', 'penetration testing', 'splunk siem', 'security vulnerability & penetration testing', 'vulnerability analysis', 'threat intelligence and analysis', 'nexpose', 'data loss prevention', 'vulnerability assessment', 'csirt', 'metasploit', 'network intrusion protection', 'nessus', 'qualys', 'malware analysis', 'nist cybersecurity framework', 'network traffic analysis', 'computer security incident response', 'intrusion detection', 'malware engineering', 'threat hunting', 'foundstone', 'cybersecurity assessment', 'iso 27002'"
16,1,"wireless data service', 'radio engineering evaluation for system planning', 'voice cells infrastructure', 'rf optimization', 'drive testing', 'code division multiple access (cdma)', 'long-term evolution (lte) standard', 'radio frequency (rf) design', 'ericsson', 'radio frequency (rf) engineering', '3g wireless', '4g wireless', 'level antennas', 'mapinfo', '3gpp', 'alcatel-lucent', 'global system for mobile communications (gsm)', '5g wireless', 'high speed packet access (hspa)', 'wimax', 'general packet radio service (gprs)', 'ciena', 'nortel', 'fiber testing', 'dslam'"
17,1,"'radiation protection standards', 'nuclear medicine procedures', 'contrast media preparation', 'radiation protection devices', 'radiation protection', 'contrast material', 'computed tomography (ct)', 'magnetic resonance imaging (mri)', 'x-ray (radiography) equipment', 'contrast media administration', 'contrast studies', 'patient immobilization', 'contrast media injection', 'radiation exposure minimization', 'cyst aspirations', 'x-ray room preparation', 'diagnostic radiology', 'radioisotopes/administration', 'contrast administration', 'radiopharmaceuticals preparation', 'portable x-ray machines', 'magnetic imaging equipment', 'radiologic technology', 'mobile x-ray equipment', 'radiopharmaceutical administration'"
18,1,"'hand torches', 'stick welding', 'pipe benders', 'portable grinders', 'pipe - threading machine', 'submerged arc welding', 'conduit bending', 'cutting torch', 'aluminum welding', 'arc welding', 'flux core welding', 'pipe cutters', 'pipe welding', 'pipe installation', 'framing squares', 'shielded metal arc welding (smaw)', 'sheet metal installation', 'stainless steel welding', 'acetylene welding', 'electrician assistance', 'wire pulling', 'carpenter assistance', '6g welding', 'concrete pouring', 'weld inspection'"
19,1,"'steering repair', 'brake work', 'suspension repair', 'oil changes', 'wheel alignment', 'tire rotations', 'diagnosis of drivability', 'headlight replacement', 'checking batteries', 'trailer repairs', 'auto repair', 'transmission repair', 'automotive services industry knowledge', 'engine replacement', 'tire repairs', 'electrical diagnostics', 'tire mounting', 'vehicle preventative maintenance', 'emissions inspection', 'ignition systems', 'fuel filter replacement', 'brake lathes', 'automotive mechanical diagnosis', 'hydraulic jacks', 'mechanical repair'"
20,0,"'shoulder injuries', 'bursitis', 'sciatica', 'tendinitis', 'joint conditions', 'frozen shoulder', 'low back pain', 'sports enhancement', 'neck pain diagnosis / treatment', 'shoulder pain', 'plantar fasciitis', 'tennis elbow', 'microwave diathermy', 'electrodiagnosis', 'physical disability prevention', 'heat therapy', 'orthopedic manual therapy', 'degenerative disc', 'polyarticular', 'reflex sympathetic dystrophy', 'hemiplegia', 'physical medicine coordination', 'athlete evaluation', 'medical supportive devices', 'elbow pain diagnosis / treatment'"
21,1,"'electronic indexing', 'pagemark', 'freelance graphics', 'lotus organizer', 'print production', 'billing inquiry computation', 'microsoft photo editor', 'appleworks', 'calendar creator', 'winfax', 'lotus approach', 'print shop', 'omnipage pro', 'nuemd', 'printmaster', 'quattro pro', 'financial records compilation', 'hydraulic cutters', 'supply inventory', 'xerox copiers', 'case file editing', 'quarkxpress', 'case file proofreading', 'copier troubleshooting', 'photodraw'"
22,1,"analog circuit design', 'mixed-signal', 'field-programmable gate arrays (fpga)', 'verilog', 'vhsic hardware description language (vhdl)', 'signal integrity analysis', 'low power design', 'xilinx', 'pcb layout and design', 'digital and analog design', 'hyperlynx', 'serdes', 'hardware design', 'logic analyzers', 'system on chip (soc)', 'pci express', 'circuit design', 'electronic circuit design', 'dxdesigner', 'board bring-up', 'analog to digital converter (adc)', 'microcontrollers', 'circuit development', 'spice', 'digital circuit design'"
23,1,"cash instruments', 'bond valuation', 'multi-factor risk models', 'interest rate sensitivity analysis', 'financial quantitative analysis', 'collateralized mortgage obligation (cmo)', 'asset pricing models', 'forex contract execution', 'wall-crossing procedures', 'hiportfolio', 'funds industry knowledge', 'interpretive accounting', 'eurobonds', 'foreign exchange hedging', 'advent geneva', 'kondor', 'systematic controls implementation', 'debt compliance monitoring', 'credit valuation adjustment (cva)', 'asset valuation', 'segregated funds', 'trading account opening', 'stock trading', 'investment objectives evaluation', 'mezzanine financing'"
24,1,"'esri software', 'arcobjects', 'arcserver', 'oracle spatial', 'arcgis', 'erdas imagine', 'esri arcsde', 'geospatial information systems', 'geographic information system (gis) data', 'qgis', 'geographic information system (gis)', 'mapguide open source', 'mrsid', 'arcview', 'postgis', 'gdal', 'geojson', 'openlayers', 'mapserver', 'imagery analysis', 'geocoding', 'remote sensing', 'digital mapping', 'giac information security professional (gisp)', 'photogrammetry'"
25,0,"'millennium general ledger', 'security phishing fundamentals', 'ascend routers', 'oracle 4 gl', 'distribution invoicing', 'oslan', 'supply chain business processes documentation', 'visual cyberquery', 'gchq', 'environmental trend analysis', 'blackline account reconciliations', 'client assistance improvement', 'drive management', 'palo alto networks firewall installation and management', 'business 400', 'resilienceone', 'grant-funded project implementation', 'plan hr initiatives', 'issuing exchanges', 'business tourism', 'erp security architecture design and analysis', 'rsa archer vulnerability risk management', 'corvision', 'daily cash management', 'target development'"
26,0,"'global supply chain management', 'material requirement planning (mrp)', 'supply chain improvement', 'supply chain strategy', 'supply chain coordination', 'corporate supply chain management', 'supply chain metrics', 'lead time reduction', 'inbound logistics', 'demand planning', 'safety stock level maintenance', 'supply chain knowledge', 'logistics strategies', 'global sourcing', 'supply chain inventory management', 'supply chain management strategies', 'supply chain sourcing', 'supply chain management', 'purchasing management', 'vendor managed inventory (vmi)', 'inventory cost reduction', 'procurement metrics', 'supply chain performance management', 'supply chain costs', 'forecasting management'"
27,0,"'energy efficiency', 'energy efficiency assessment', 'energy efficiency analysis', 'energy efficiency technologies', 'building energy codes', 'department of energy (doe) building energy modeling (bem)', 'energy efficiency products', 'energy assessment', 'residential energy auditing', 'building energy modeling software', 'energy efficiency research', 'energy plus', 'carbon offsets', 'home energy assessment', 'residential energy efficiency', 'carbon management', 'energy efficiency consultation', 'home energy rating', 'energy efficient building', 'energy analysis software', 'energy efficient lighting', 'energy analysis', 'energy modeling', 'residential energy conservation', 'energy efficiency services'"
28,1,"'adobe marketing cloud', 'adobe campaign', 'adobe experience manager (aem)', 'google analytics', 'omniture', 'tealium', 'salesforce marketing cloud', 'adobe cq', 'bazaarvoice', 'adobe analytics', 'adobe sitecatalyst', 'web analytics', 'neolane', 'interactive marketing', 'cross-channel marketing', 'optimizely', 'oracle marketing cloud (responsys)', 'coremetrics', 'demandware', 'adobe site catalyst', 'multi channel campaign', 'search analytics', 'tag management', 'tridion web content management', 'ibm omni-channel marketing (unica)'"
29,0,"'year end accounts', 'month-and year-end close processes', 'cash flow and reconciliation', 'fixed asset tracking systems', 'accounts payable workflow system', 'multi-site accounting', 's-corp returns', 'mas 90 and mas 200', 'vendor invoice input', 'balance sheet preparation', 'financial statement processing', 'finance charge posting', 'accounts payable accrual journal entries', 'accounts receivable transfers', 'cash consolidation', 'responding to invoice questions', 'debt compliance monitoring', 'corporate tax preparation', 'segregated funds', 'inland revenue', 'daceasy accounting', 'drake tax software', 'simply accounting', 'financial record keeping', 'check mailing/distribution'"
30,0,"'incoming medication rotation', 'prescription checks', 'iv preparations', 'aseptic syringe manipulation', 'drug usage review', 'prescription shipping', 'frameworks pharmacy software', 'prescription counting', 'medication packaging', 'pharmaceutical supply monitoring', 'knowledge of pharmacy informatics', 'familiarity with drug names', 'medication stocking', 'drug preparation', 'prescription compounding', 'adverse drug interactions', 'chemotherapy mixing', 'radionuclide preparation', 'disposable syringes', 'pharmaceuticals mixing', 'medication selection', 'sms pharmacy systems', 'drug storage', 'pharmacist assistance', 'drug effectiveness evaluation'"
31,3,"'window and door installation', 'crown molding', 'frame carpentry', 'residential carpentry', 'trim carpentry', 'construction carpentry', 'shower installation', 'drywall finishing', 'soffit', 'metal framing', 'flat roofing', 'finish carpentry', 'door installation', 'carpenter assistance', 'toilet installation', 'framing and trim', 'speed square', 'window installation', 'drywall installation', 'guttering', 'commercial carpentry', 'residential painting', 'wood rot', 'water heater installation', 'water heater replacement'"
32,1,"'liferay portal', 'oracle webcenter', 'ibm content manager', 'ibm websphere process server', 'ibm case manager', 'filenet', 'liferay', 'ibm websphere portal', 'ibm websphere', 'adobe livecycle', 'ibm datapower', 'opendeploy', 'ilog jrules', 'jee architecture', 'thunderhead', 'oracle enterprise content management (ecm)', 'portlets', 'jax-rpc', 'ibm integration designer', 'portal servers', 'apache sling', 'ibm odm', 'message driven beans', 'java enterprise edition', 'ibm rational software architect'"
33,0,"'review of pleadings', 'legal document preparation', 'filing pleadings', 'legal research', 'cite checks', 'preparation of pleadings', 'legal databases', 'legal correspondence preparation', 'legal research databases', 'litigation', 'legal file organization', 'motion preparation', 'trial preparation', 'westlaw', 'legal writing', 'legal document revision', 'legal document editing', 'bluebooking', 'subpoena preparation', 'legal document proofreading', 'environmental litigation', 'investigation of claims', 'legal document review', 'commercial litigation', 'legal staffing'"
34,0,"'night deposit transactions', 'atm maintenance', 'vault opening and closing', 'vault cash maintenance', 'account inquiry resolution', 'consumer loan origination', 'banking services inquiries', 'bank transaction processing', 'cash balancing/control records maintenance', 'teller transactions', 'bank services cross-selling', 'bank experience enhancement', 'loan payment acceptance', 'bank product promotion', 'bank services and products recommendation', 'loan application guidance', 'check cashing', 'knowledge of lending procedures', 'basic banking knowledge', 'state lending regulation', 'travelers checks', 'miser system', 'account problem resolution', 'financial policy recommendation', 'community banking experience'"
35,0,"'strategic planning principles', 'water resource development', 'public administration', 'economic policy', 'urban studies', 'financial records appraisal', 'feca', 'interest arbitration', 'personnel management', 'policy development', 'policy analysis', 'grievance arbitration', 'governmental accounting practices', 'public land use', 'employment rights', 'environmental economics', 'public policy development', 'fiscal analysis', 'resource distribution', 'injury control', 'natural resource management', 'zoning board of appeals', 'financial policy development', 'environmental review coordination', 'city planning'"
36,0,"'stakeholder management', 'reengineering', 'project planning and development skills', 'business case analysis', 'change management', 'it strategy', 'stakeholder communications', 'ppm tools', 'pmbok', 'strategic planning', 'it management', 'resource management', 'stakeholder analysis', 'prince', 'impact assessment', 'business strategy', 'work breakdown structure', 'meeting facilitation', 'microsoft project', 'lifecycle management', 'strategic management', 'procurement management', 'change management process', 'systems development', 'demand management'"
37,0,"'nursing support', 'intake recording', 'patient bathing', 'patient care coordination', 'enemas', 'foley catheter', 'nasogastric', 'adls assistance', 'activities of daily living (adls)', 'patient transportation and transfer', 'critical care unit (ccu) experience', 'post - mortem care', 'patient hygiene', 'central venous lines', 'emotional support', 'blood administration', 'peripherally inserted central catheters (picc line)', 'wound dressing', 'post anesthesia care unit (pacu)', 'postoperative care', 'geriatrics', 'same day surgery', 'iv therapy', 'patient discharge', 'patient hygiene assistance'"
38,0,"'intraoral', 'fluoride application', 'periodontal disease knowledge', 'periodontal surgery', 'preventive dental care', 'teeth examination', 'dental instruments', 'fissure', 'oral diseases knowledge', 'root canal', 'dental calculus', 'oral health care', 'dental assistance', 'amalgam', 'rubber dams', 'gingivitis', 'gum disease knowledge', 'space maintainers', 'oral health maintenance', 'dental histories', 'rubber dam removal', 'temporary restorations', 'fluoride treatments', 'gum examination', 'oral cancer knowledge'"
39,1,"'track torch', 'structural steel welding', 'welding machine set-up', 'orbital welding equipment', 'tig root welding', 'heliarc welding equipment', 'x-ray welding', 'welding fixture building', 'stainless steel tig welding', 'spot, mig, and tig welding', 'plasma arc gouging', 'close tolerance welding', 'notching machinery', 'tig heliarc welding', 'speed lathes', 'carbon steel welding', 'welding blueprints', 'commercial pipe welding', 'socket welding', 'electronic welding equipment', 'free-hand welding', 'air carbon arc gouging', 'structural metal fabrication', 'mig steel welding', 'workpiece lubrication'"
40,3,"'waste treatment', 'pumping systems', 'chemical plant operations', 'heat exchange', 'oil refining', 'process safety', 'chemical industry knowledge', 'process equipment', 'pigging', 'power generation', 'industrial wastewater treatment systems', 'compressed air system', 'power plant equipment', 'liquefied petroleum gas (lpg)', 'pipe systems', 'vessel equipment', 'flow meters', 'natural gas', 'biosolids', 'power plant systems', 'power plant operations', 'pollution control equipment', 'liquefied natural gas (lng)', 'environmental regulations', 'waste-to-energy'"
41,0,"'audit program development', 'audit findings evaluation', 'audit findings presentation', 'audit risk', 'audit planning', 'auditing standards', 'audit reports', 'audit engagements', 'internal auditing', 'audit experience', 'internal control evaluation', 'audit progress monitoring', 'audit work papers', 'audit management', 'business auditing', 'computer-assisted auditing technology (caat) services', 'internal controls testing', 'audit results review', 'cobit', 'risk assessment', 'compliance auditing', 'bank internal auditing', 'public company accounting oversight board (pcaob) standards', 'investigative auditing', 'internal audit standards'"
42,3,"'medicare outpatient coding', 'physician/department coding patterns', '3m codefinder', 'medicare inpatient coding', 'encoder pro', 'apc group assignment', 'coding review', 'coding clinic familiarity', 'computerized patient abstract', 'diagnostic related group (drg) optimization', 'cpt assistant familiarity', 'outpatient prospective payment system (opps)', 'inpatient diagnosis', 'softmed clintrac', 'coding change education', 'dss/quadramed', 'inpatient record abstraction', 'webcis', 'outpatient record abstraction', 'fetal surgery', 'patient data coding', 'automated drg/apc grouping system', 'neoplasm', 'knowledge of coding classification systems', 'congenital malformation'"
43,0,"'fas 109', 'tax research', 'fin 48', 'tax compliance', 'tax planning', 'corptax', 'tax stream', 'tax provision preparation', 'tax software', 'audit defense', 'tax audits', 'local tax returns', 'tax accounting', 'tax law', 'fas 5', 'partnership tax returns', 'tax administration', 'income tax planning', 'tax analysis', 'tax preparation', 'onesource taxsoftware', 'tax returns', 'individual tax returns', 'tax services industry knowledge', 'corporate tax returns'"
44,1,"'keras', 'recurrent neural network (rnn)', 'semi-supervised learning', 'theano', 'hidden markov model (hmm)', 'tensorflow', 'long short-term memory (lstm)', 'mxnet', 'unsupervised learning', 'torch (machine learning)', 'scikit-learn', 'deep learning', 'caffe deep learning framework', 'convolutional neural network (cnn)', 'support vector machines (svm)', 'clustering algorithms', 'bayesian networks', 'dimensionality reduction', 'matrix factorization', 'natural language toolkit (nltk)', 'recommender systems', 'kernel methods', 'natural language processing', 'xgboost', 'machine learning'"
45,1,"'panvalet', 'abend-aid', 'xpediter', 'jes3', 'roscoe', 'intertest', 'ca endevor', 'clist (programming language)', 'fileaid', 'ca-7', 'spufi', 'tso/ispf', 'changeman', 'ibm z/os operating system', 'customer information control system (cics)', 'virtual storage access method (vsam)', 'rexx', 'ims db', 'job control language (jcl)', 'data facility hierachical storage manager (dfhsm)', 'ibm assembler', 'syncsort', 'telon', 'virtual telecommunications access method (vtam)', 'easytrieve'"
46,0,"'gene regulation', 'functional genomics', 'gene expression analysis', 'gene expression', 'chromatin', 'expression profiling', 'bioinformatics analysis', 'dna methylation', 'sequence analysis', 'gene identification', 'microrna', 'genome', 'protein function', 'proteomics', 'rna interference (rnai)', 'nucleotide', 'proteome', 'comparative genomics', 'sequence alignment', 'genome sequencing', 'genbank database', 'genome database', 'genome analysis', 'gene expression regulation', 'crispr'"
47,0,"'scabies', 'child abuse treatment', 'vessel security', 'winguard', 'criminal report preparation', 'first aid supply replenishment', 'surveillance of premises', 'illness extent assessment', 'towing vessel operations', 'disabled vehicle removal', 'spill contingency planning', 'boating accident reports', 'iron mining', 'town ordinance', 'impetigo', 'physical health screening', 'spill free operations', 'patrol boats', 'venereal disease knowledge', 'emergency treatment procedures', 'rubella vaccine', 'avian flu', 'ground patrol', 'waste transport', 'seropositive'"
48,1,"'statistical process control development', 'advanced manufacturing', 'cellular manufacturing', 'one piece flow', 'cost-effective manufacturing', 'value stream mapping', 'poka-yoke', 'lean manufacturing', 'single-minute exchange of die', 'ultrasonic welding', 'manufacturing processes', 'six sigma green belt', 'six sigma black belt', 'lean six sigma', 'manufacturing principles', 'statistical process control (spc)', 'advanced manufacturing implementation', 'product variability reduction', 'production flow improvement', 'dmaic', 'iso 16949', 'demand flow', 'sustainable manufacturing', 'lead time reduction', 'advanced manufacturing systems'"
49,3,"'dsmb (data safety monitoring board)', 'implementing clinical study', 'good clinical practices (gcp)', 'clinical trial management', 'clinical research management', 'international conference on harmonization (ich)', 'clinical trials', 'clinical trial monitoring', 'clinical data management', 'protocol review', 'investigational review board (irb)', 'manage multiple clinical studies', 'clinical study reports', 'clinical industry knowledge', 'clinical research', 'electronic case report form (ecrf) design', 'clinical research data accuracy and integrity', 'protocol compliance', 'regulatory documents', 'clinical trial planning', 'data and safety monitoring board', 'oncology clinical trials', 'clinical trial design', 'medidata rave', 'clintrial'"
50,0,"'wildlife management', 'habitat management', 'plant taxonomy', 'wildlife biology', 'plant ecology', 'habitat restoration', 'wildlife surveys', 'botany', 'vegetation surveys', 'land management', 'natural resource science', 'wildlife science', 'natural resource management', 'fishery biology', 'aquatic ecology', 'natural resources', 'watershed management', 'conservation planning', 'fish culture', 'ecological restoration', 'reforestation', 'entomology', 'ecological services', 'soil management', 'wildlife conservation'"
51,0,"'small molecule detection', 'recombinant protein analysis', 'viral particle', 'enzyme isolation', 'proteome analysis', 'enzyme function', 'viral assembly', 'carbohydrate structure', 'virus structure', 'recombinant dna construction', 'antibody modification', 'dna handling', 'enzyme structure', 'novel adjuvants', 'genomic library construction', 'antibody isolation', 'proteomic databases', 'viral transformation', 'endoderm', 'microbial biotechnology', 'protein formulation optimization', 'gene product', 'in vitro translation', 'chemical diversity', 'restriction mapping'"
52,0,"'standards of ethical coding', 'coding quality', '3m encoder', 'coding integrity', 'drg group assignment', 'outpatient coding', 'inpatient coding', 'medical encoder', 'ms-drg group assignment', 'hcpcs level ii', 'health information technology (hit)', 'coding compliance regulations', 'outpatient record coding', 'principal diagnosis identification', 'acute care coding', 'diagnoses sequencing', 'coding accuracy', 'international classification of diseases (icd)', 'clinical documentation improvement program (cdip)', 'medical abstraction', 'knowledge of diagnosis-related groups (drg)', 'hcpcs coding', 'knowledge of ambulatory payment classifications (apc)', 'knowledge of ms-drgs', 'cpt-4 coding'"
53,1,"'sweave', 'knitr', 'x-12-arima', 'statistica data miner', 'wordstat', 'geoda', 'gretl', 'sofa statistics', 'qda miner', 'expectation-maximization (em) algorithm', 'ad model builder (admb)', 'logit analysis', 'adaboost algorithm', 'openmx', 'autoencoders', 'libsvm', 'maximum entropy classifier', 'dbscan (density-based spatial clustering of applications with noise)', 'latent dirichlet allocation', 'mlpack (c++ library)', 'madlib', 'lexalytics', 'crisp-dm', 'vowpal', 'data mining industry knowledge'"
54,0,"'dysarthria', 'stuttering', 'voice disorder', 'delayed language', 'voice improvement', 'fluency disorders', 'barium swallow', 'speech fluency', 'harsh voice problems', 'apraxia', 'speech and language disorders', 'aphasia', 'lip reading', 'language problems', 'voice therapy', 'cleft palate', 'oral-motor therapy', 'hearing assessment', 'neurogenic', 'language disorders', 'laryngectomy', 'dysphagia (swallowing problems)', 'corrective therapy', 'tongue strengthening', 'speech exercise programs'"
55,0,"'cdna library construction', 'restriction endonuclease', 'restriction mapping', 'hybridoma production', 'dna viruses', 'enzyme function', 'in vitro translation', 'dna handling', 'antibody isolation', 'gene deletion', 'candida albicans', 'toxoplasma gondii', 'restriction enzymes', 'reverse transcription polymerase chain reaction', 'eukaryote', 'endoderm', 'gene product', 'mesoderm', 'eukaryotic gene expression', 'transposon', 'viral particle', 'prokaryote', 'recombinant dna construction', 'genomic library construction', 'microbial biotechnology'"
56,1,"'drill presses', 'conduit bending', 'voltmeters', 'electrical conduit', 'wire pulling', 'conduit installation', 'pipe benders', 'power tools', 'ammeters', 'soldering irons', 'wiring installation', 'watt meters', 'pneumatic tools', 'hand tools', 'power drills', 'low and high voltage', 'chisels', 'belt sanders', 'wiring', 'amperage', 'torque wrench', 'silver soldering', 'acetylene welding', 'electrical experience', 'electrical wiring'"
57,2,"'generalized anxiety disorder', 'bulimia nervosa diagnosis / treatment', 'psychologically based disorders', 'interpersonal psychotherapy', 'electronic prescribing system', 'anorexia nervosa diagnosis / treatment', 'interpersonal therapy', 'mental health condition diagnosis', 'neuroleptic', 'social anxiety disorder', 'methadone treatment program', 'sexual health dysfunctions', 'cognition assessment', 'psychiatry-geriatrics', 'treatment re-evaluation', 'bariatrician', 'therapeutic milieu establishment', 'pain management evaluation', 'sequela', 'anti-retroviral therapy', 'grief assessment', 'disease management model', 'panic disorder', 'non-pharmacologic intervention', 'subclinical'"
